timestamp,iso8601,app,plane,cluster,cpu_cores,memory_bytes
1756195836,"2025-08-26T08:10:36Z","submariner","control","sub-control",0.0025894888064168305,60517580.8
1756196268,"2025-08-26T08:17:48Z","l2sm","control","l2sm-control",0.022000817242348945,849908736
1756196268,"2025-08-26T08:17:48Z","l2sm","managed","l2sm-managed-1",0.05868226613588087,955113472
1756196268,"2025-08-26T08:17:48Z","l2sm","managed","l2sm-managed-2",0.054863987313948634,903221452.8
1756196268,"2025-08-26T08:17:48Z","submariner","control","sub-control",0.0024752007660672646,60368896
1756196268,"2025-08-26T08:17:48Z","submariner","managed","sub-managed-1",0.05875882085528371,379692032
1756196268,"2025-08-26T08:17:48Z","submariner","managed","sub-managed-2",0.05016690320322081,380530688
1756196700,"2025-08-26T08:25:00Z","l2sm","control","l2sm-control",0.02283865112478706,849994752
1756196700,"2025-08-26T08:25:00Z","submariner","control","sub-control",0.002839523113261015,60449792
1756197132,"2025-08-26T08:32:12Z","l2sm","control","l2sm-control",0.02322403951936873,850024448
1756197132,"2025-08-26T08:32:12Z","l2sm","managed","l2sm-managed-1",0.05520248280677957,957963264
1756197132,"2025-08-26T08:32:12Z","l2sm","managed","l2sm-managed-2",0.054271665362063855,904025770.6666666
1756197132,"2025-08-26T08:32:12Z","submariner","control","sub-control",0.00236571794475508,60513280
1756197132,"2025-08-26T08:32:12Z","submariner","managed","sub-managed-1",0.06312084938013021,379653120
1756197132,"2025-08-26T08:32:12Z","submariner","managed","sub-managed-2",0.04811457835678597,380091392
1756197564,"2025-08-26T08:39:24Z","l2sm","control","l2sm-control",0.023652327900595065,850011136
1756197564,"2025-08-26T08:39:24Z","submariner","control","sub-control",0.0022434226702732238,60363776
1756197996,"2025-08-26T08:46:36Z","l2sm","control","l2sm-control",0.02361971489349306,849991680
1756197996,"2025-08-26T08:46:36Z","l2sm","managed","l2sm-managed-1",0.05426233351162877,959106048
1756197996,"2025-08-26T08:46:36Z","l2sm","managed","l2sm-managed-2",0.05464513450171209,905468928
1756197996,"2025-08-26T08:46:36Z","submariner","control","sub-control",0.002745645302307004,60371968
1756197996,"2025-08-26T08:46:36Z","submariner","managed","sub-managed-1",0.05844156826246721,379634688
1756197996,"2025-08-26T08:46:36Z","submariner","managed","sub-managed-2",0.04895784567870827,379739136
1756198428,"2025-08-26T08:53:48Z","l2sm","control","l2sm-control",0.024706130249509854,849261568
1756198428,"2025-08-26T08:53:48Z","submariner","control","sub-control",0.0021823103486692252,60387328
1756198860,"2025-08-26T09:01:00Z","l2sm","control","l2sm-control",0.021475851467356612,849624064
1756198860,"2025-08-26T09:01:00Z","l2sm","managed","l2sm-managed-1",0.05672447484336557,959393792
1756198860,"2025-08-26T09:01:00Z","l2sm","managed","l2sm-managed-2",0.0542659501419805,905851904
1756198860,"2025-08-26T09:01:00Z","submariner","control","sub-control",0.0024495947858157183,60355584
1756198860,"2025-08-26T09:01:00Z","submariner","managed","sub-managed-1",0.06005801690799709,379280384
1756198860,"2025-08-26T09:01:00Z","submariner","managed","sub-managed-2",0.05102482147743108,379803648
1756199292,"2025-08-26T09:08:12Z","l2sm","control","l2sm-control",0.02273234798946683,849701273.6
1756199292,"2025-08-26T09:08:12Z","submariner","control","sub-control",0.0020017352894776278,60600320
1756199724,"2025-08-26T09:15:24Z","l2sm","control","l2sm-control",0.022331876847069172,849783808
1756199724,"2025-08-26T09:15:24Z","l2sm","managed","l2sm-managed-1",0.05507209242135144,959714918.4
1756199724,"2025-08-26T09:15:24Z","l2sm","managed","l2sm-managed-2",0.052941915805871646,905693184
1756199724,"2025-08-26T09:15:24Z","submariner","control","sub-control",0.0026280589082052644,60380160
1756199724,"2025-08-26T09:15:24Z","submariner","managed","sub-managed-1",0.06082298171150202,379616256
1756199724,"2025-08-26T09:15:24Z","submariner","managed","sub-managed-2",0.048889522796455906,380841779.2
1756200156,"2025-08-26T09:22:36Z","l2sm","control","l2sm-control",0.021663723080233496,849892352
1756200156,"2025-08-26T09:22:36Z","submariner","control","sub-control",0.002203122382659689,60440576
1756200588,"2025-08-26T09:29:48Z","l2sm","control","l2sm-control",0.021670673068160277,847846400
1756200588,"2025-08-26T09:29:48Z","l2sm","managed","l2sm-managed-1",0.05489155594434687,951634944
1756200588,"2025-08-26T09:29:48Z","l2sm","managed","l2sm-managed-2",0.05304414432427266,905856682.6666666
1756200588,"2025-08-26T09:29:48Z","submariner","control","sub-control",0.002324205866076996,60396544
1756200588,"2025-08-26T09:29:48Z","submariner","managed","sub-managed-1",0.06037360266766382,380217344
1756200588,"2025-08-26T09:29:48Z","submariner","managed","sub-managed-2",0.04843156798963065,379899904
1756201020,"2025-08-26T09:37:00Z","l2sm","control","l2sm-control",0.021871127616004286,849736704
1756201020,"2025-08-26T09:37:00Z","submariner","control","sub-control",0.0026359733563481604,60379136
1756201452,"2025-08-26T09:44:12Z","l2sm","control","l2sm-control",0.02263810666999325,849764556.8
1756201452,"2025-08-26T09:44:12Z","l2sm","managed","l2sm-managed-1",0.05252897945294135,959714304
1756201452,"2025-08-26T09:44:12Z","l2sm","managed","l2sm-managed-2",0.05468487255230732,906160332.8000001
1756201452,"2025-08-26T09:44:12Z","submariner","control","sub-control",0.002240331554445622,60395520
1756201452,"2025-08-26T09:44:12Z","submariner","managed","sub-managed-1",0.06055507433860607,379453440
1756201452,"2025-08-26T09:44:12Z","submariner","managed","sub-managed-2",0.048932388115756426,380763272.5333333
1756201884,"2025-08-26T09:51:24Z","l2sm","control","l2sm-control",0.024233513776507877,848279552
1756201884,"2025-08-26T09:51:24Z","submariner","control","sub-control",0.002185010446856131,60412928
1756202316,"2025-08-26T09:58:36Z","l2sm","control","l2sm-control",0.023397022558650706,849704960
1756202316,"2025-08-26T09:58:36Z","l2sm","managed","l2sm-managed-1",0.05642409912996516,951782400
1756202316,"2025-08-26T09:58:36Z","l2sm","managed","l2sm-managed-2",0.05441484434755269,906236928
1756202316,"2025-08-26T09:58:36Z","submariner","control","sub-control",0.002456980374665027,60417024
1756202316,"2025-08-26T09:58:36Z","submariner","managed","sub-managed-1",0.0596911206229727,379908096
1756202316,"2025-08-26T09:58:36Z","submariner","managed","sub-managed-2",0.05051212180084283,379710464
1756202748,"2025-08-26T10:05:48Z","l2sm","control","l2sm-control",0.021343207578736378,849811456
1756202748,"2025-08-26T10:05:48Z","submariner","control","sub-control",0.002255110420597246,60421120
1756203180,"2025-08-26T10:13:00Z","l2sm","control","l2sm-control",0.02526918713409778,849993728
